wrapper  | OpenSCManager failed - Access is denied. (0x5)
wrapper  | The nexus-webapp service is not installed - The specified service does not exist as an installed service. (0x424)
wrapper  | OpenSCManager failed - Access is denied. (0x5)
wrapper  | --> Wrapper Started as Console
wrapper  | Launching a JVM...
jvm 1    | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
jvm 1    |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
jvm 1    | 
jvm 1    | 2015-07-03 11:29:04,831+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jsw.JswLauncher - Starting with arguments: [./conf/jetty.xml, ./conf/jetty-requestlog.xml]
jvm 1    | 2015-07-03 11:29:04,847+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jsw.JswLauncher - JVM ID: 1, JVM PID: 1844, Wrapper PID: 2484, User: admin
jvm 1    | 2015-07-03 11:29:05,143+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder - Properties:
jvm 1    | 2015-07-03 11:29:05,143+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-conf='D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/../sonatype-work/nexus/conf'
jvm 1    | 2015-07-03 11:29:05,143+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-host='0.0.0.0'
jvm 1    | 2015-07-03 11:29:05,143+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-port='8081'
jvm 1    | 2015-07-03 11:29:05,143+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   bundleBasedir='D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06'
jvm 1    | 2015-07-03 11:29:05,143+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   java.awt.headless='true'
jvm 1    | 2015-07-03 11:29:05,143+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   networkaddress.cache.ttl='3600'
jvm 1    | 2015-07-03 11:29:05,143+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-app='D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/nexus/WEB-INF'
jvm 1    | 2015-07-03 11:29:05,143+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-webapp='D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/nexus'
